Country;State;City;Address;Store;Localization
Venezuela;Anzoategui;El Tigre;6050, Avenida Jesús Subero;Frida Plata y Fantasia;C.C. San Remo Mall, NIVEL PB LOCAL N° 30a
Venezuela;Anzoategui;Puerto La Cruz / Lecherias;6016, Avenida Daniel Camejo Octavio;Casa Rodney Joyeria;C.C. Plaza Mayor, Edif.6 - Nivel 1 - Local 107
Venezuela;Anzoategui;Puerto La Cruz / Lecherias;Avenida Américo Vespucio;Joyeria Mar;C.C. Caribbean Mall, NV, C-2, LOC- 325 Y 303
Venezuela;Anzoategui;Puerto La Cruz / Lecherias;Avenida Diego Bautista Urbaneja;Gifts Shop Joyeria;C.C. El Peñon Del Faro, PB local D4 (al lado de la Panaderia)
Venezuela;Aragua;Cagua;36, Avenida Miranda;Creaciones La Esmeralda;Edif. La Esmeralda Piso PB Local 1 Sector Centro
Venezuela;Aragua;La Victoria;Avenida Soco;Complementos Plus;C.C. Palma Center, Nivel Avenida Local n° 18
Venezuela;Aragua;La Victoria;2121, Calle Negra Matea;Complementos;C.C. Morichal Nivel Boulevard, Paseo Colonial, Loc. 38-3
Venezuela;Aragua;Maracay;2102, Avеnida Las Delicias;Ada Joyas;C.C. las Americas, Nivel Mezannina Bajo Cines Unidos
Venezuela;Aragua;Maracay;Avenida Bolivar;Joyeria Mi Tesoro;C.C. Los Proceres, Sector San Jacinto
Venezuela;Aragua;Maracay;Avenida Casanova Godoy;Frida Plata y Fantasia;Hyper Jumbo Mall, Nivel Platino - Local PA-65
Venezuela;Aragua;Maracay;Calle Sanchez Carrero;Oriana's Acesorios;"C.C Galería Plaza, Passilo Central, P.B.; Local 33"
Venezuela;Aragua;Maracay;Avenida Bolivar;Entre Joyas;C.C Global, Loc. 64
Venezuela;Aragua;Maracay;Avenida 2;Chela Lizardo;C.C. Parque Aragua, PB - Local 52-37, al lado feria
Venezuela;Aragua;Turmero;Calle Petion;Triny;C.C. Randazo. Loc. 28 - 29
Venezuela;Barinas;Barinas;Avenida Tachira;Uranio Joyeria (Mape Group C.A.);C.C. Cima, Nivel Feria, Local Nro 52
